Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8653,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17146,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0962524091
8662,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17155,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1317766852
8665,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17158,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1519942258
8668,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17161,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.8891953875
8671,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17164,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,89.9955903440
8680,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17173,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8683,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17176,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8685,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17160,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.9446875525
8686,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17179,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8688,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17163,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.1346301934
8689,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17182,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8691,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17166,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,89.8043835906
8694,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17169,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.1605342806
8703,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17196,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1252848182
8706,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17199,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1751281978
8709,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17202,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.9755068978
8712,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17205,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.2091266309
8721,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17214,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1560595776
8724,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17217,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1296764316
8727,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17220,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.0122802719
8730,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17223,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.2306959036
8739,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17232,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1126770737
8742,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17235,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1885585046
8745,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17238,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.1258494892
8748,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17241,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0292435565
8757,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17250,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8760,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17253,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8762,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17237,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.0110984117
8763,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17256,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8765,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17240,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.0444763370
8766,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17259,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8768,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17243,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.6534388952
8771,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17246,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.2565442206
8780,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17273,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.9586912247
