Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FetchSize,MemUnitBusy,MemUnitStalled,VALUBusy,LDSBankConflict
8826,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17308,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952799.8750000000,76.1866620391,1.8297616793,65.1044135930,0.0000000000
8829,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17311,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429189.3125000000,65.4801607942,0.3888304266,54.9296148667,0.0000000000
8832,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17314,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,398435.0000000000,74.7773931242,1.8565797174,63.7830924142,0.0000000000
8846,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17328,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142418.1875000000,73.1636490903,1.3095615654,61.8206135933,0.0000000000
8849,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17331,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953159.6875000000,76.1422138611,1.8107082907,65.1800433101,0.0000000000
8852,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17334,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429298.5000000000,64.8718157665,0.3839241204,54.6695389131,0.0000000000
8855,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17337,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479536.2500000000,74.9680933974,1.8464747854,63.9229020921,0.0000000000
8864,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17346,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142389.5625000000,73.3331242806,1.3292042623,61.9432975321,0.0000000000
8867,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17349,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953239.1250000000,76.2668283451,1.8244560417,65.2502165568,0.0000000000
8870,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17352,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429282.8125000000,64.4415312649,0.3869322503,54.5093124490,0.0000000000
8873,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17355,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479641.0000000000,74.5524671782,1.9152457509,63.8311606936,0.0000000000
8882,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17364,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142348.4375000000,73.4759416839,1.3387608743,62.0319609290,0.0000000000
8885,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17367,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953347.7500000000,76.1366011294,1.8079821995,65.1679139907,0.0000000000
8888,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17370,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429187.6250000000,65.2194050185,0.3897491018,54.9105446168,0.0000000000
8891,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17373,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480272.3750000000,74.7950491869,1.8558317204,63.8669687287,0.0000000000
8900,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17382,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142315.1250000000,73.3387306434,1.3667980563,61.9670315009,0.0000000000
8903,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17385,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953146.0625000000,76.1373829124,1.8025759726,65.1631830260,0.0000000000
8906,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17388,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429167.7500000000,65.3710615660,0.3992232825,54.9426534205,0.0000000000
8909,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17391,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,398151.3125000000,74.8363423288,1.8395810244,63.7992042247,0.0000000000
8923,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17405,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142417.0625000000,73.2501365742,1.3144762529,61.8858819404,0.0000000000
8926,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17408,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953197.6875000000,76.1899531351,1.8286336324,65.1771216896,0.0000000000
8929,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17411,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429307.8125000000,64.6945287319,0.3872418177,54.6159863423,0.0000000000
